nohup: ignoring input
Start loading file addresses ...
done! time: 0.9651718139648438
Number of images found: 289508
out/human_encoder/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=010, time=5.931, generator: 0.7107, discriminator: 1.0152, regularizer: 0.0472, pose_estimator: 1.3533
[(levelname)s] [Epoch 01] it=020, time=4.705, generator: 0.6920, discriminator: 0.9066, regularizer: 0.0910, pose_estimator: 0.8155
[(levelname)s] [Epoch 01] it=030, time=4.681, generator: 0.6863, discriminator: 0.9603, regularizer: 0.0748, pose_estimator: 0.5126
[(levelname)s] [Epoch 01] it=040, time=4.725, generator: 0.5759, discriminator: 1.2453, regularizer: 0.0507, pose_estimator: 0.3496
[(levelname)s] [Epoch 01] it=050, time=4.728, generator: 0.6403, discriminator: 1.1701, regularizer: 0.0384, pose_estimator: 0.2878
[(levelname)s] [Epoch 01] it=060, time=4.750, generator: 0.7057, discriminator: 1.1983, regularizer: 0.0450, pose_estimator: 0.2364
[(levelname)s] [Epoch 01] it=070, time=4.780, generator: 0.5958, discriminator: 1.1673, regularizer: 0.0487, pose_estimator: 0.1990
[(levelname)s] [Epoch 01] it=080, time=4.712, generator: 0.6753, discriminator: 1.1418, regularizer: 0.0714, pose_estimator: 0.1549
[(levelname)s] [Epoch 01] it=090, time=4.711, generator: 0.6841, discriminator: 1.1062, regularizer: 0.0810, pose_estimator: 0.1631
[(levelname)s] [Epoch 01] it=100, time=4.745, generator: 0.5998, discriminator: 1.1329, regularizer: 0.0708, pose_estimator: 0.1377
[(levelname)s] [Epoch 01] it=110, time=4.778, generator: 0.7057, discriminator: 1.1535, regularizer: 0.0833, pose_estimator: 0.1174
[(levelname)s] [Epoch 01] it=120, time=4.801, generator: 0.6645, discriminator: 1.1865, regularizer: 0.0976, pose_estimator: 0.1189
[(levelname)s] [Epoch 01] it=130, time=4.820, generator: 0.6135, discriminator: 1.1170, regularizer: 0.1190, pose_estimator: 0.1182
[(levelname)s] [Epoch 01] it=140, time=4.775, generator: 0.6566, discriminator: 1.1198, regularizer: 0.0912, pose_estimator: 0.0882
[(levelname)s] [Epoch 01] it=150, time=4.750, generator: 0.7056, discriminator: 1.1211, regularizer: 0.0905, pose_estimator: 0.0885
[(levelname)s] [Epoch 01] it=160, time=4.734, generator: 0.7305, discriminator: 1.1443, regularizer: 0.0846, pose_estimator: 0.0866
[(levelname)s] [Epoch 01] it=170, time=4.722, generator: 0.6155, discriminator: 1.1503, regularizer: 0.0867, pose_estimator: 0.0797
[(levelname)s] [Epoch 01] it=180, time=4.693, generator: 0.8735, discriminator: 1.2695, regularizer: 0.0735, pose_estimator: 0.0766
[(levelname)s] [Epoch 01] it=190, time=4.744, generator: 0.6680, discriminator: 1.1352, regularizer: 0.0859, pose_estimator: 0.0750
[(levelname)s] [Epoch 01] it=200, time=4.773, generator: 0.8975, discriminator: 1.3117, regularizer: 0.0694, pose_estimator: 0.0717
[(levelname)s] [Epoch 01] it=210, time=4.757, generator: 0.6558, discriminator: 1.1143, regularizer: 0.0862, pose_estimator: 0.0684
[(levelname)s] [Epoch 01] it=220, time=4.760, generator: 0.6955, discriminator: 1.1075, regularizer: 0.0919, pose_estimator: 0.0662
[(levelname)s] [Epoch 01] it=230, time=4.751, generator: 0.7966, discriminator: 1.1335, regularizer: 0.0902, pose_estimator: 0.0599
[(levelname)s] [Epoch 01] it=240, time=4.722, generator: 0.7141, discriminator: 1.1353, regularizer: 0.0896, pose_estimator: 0.0601
[(levelname)s] [Epoch 01] it=250, time=4.721, generator: 0.7209, discriminator: 1.1059, regularizer: 0.0872, pose_estimator: 0.0533
[(levelname)s] [Epoch 01] it=260, time=4.712, generator: 0.7563, discriminator: 1.1247, regularizer: 0.0971, pose_estimator: 0.0545
[(levelname)s] [Epoch 01] it=270, time=4.728, generator: 0.6429, discriminator: 1.1253, regularizer: 0.0842, pose_estimator: 0.0522
[(levelname)s] [Epoch 01] it=280, time=4.703, generator: 0.6903, discriminator: 1.1437, regularizer: 0.0907, pose_estimator: 0.0499
[(levelname)s] [Epoch 01] it=290, time=4.661, generator: 0.6710, discriminator: 1.1651, regularizer: 0.0752, pose_estimator: 0.0520
[(levelname)s] [Epoch 01] it=300, time=4.694, generator: 0.7949, discriminator: 1.1561, regularizer: 0.0856, pose_estimator: 0.0479
[(levelname)s] [Epoch 01] it=310, time=4.760, generator: 0.6743, discriminator: 1.1393, regularizer: 0.0904, pose_estimator: 0.0475
[(levelname)s] [Epoch 01] it=320, time=4.747, generator: 0.7096, discriminator: 1.2252, regularizer: 0.0751, pose_estimator: 0.0500
[(levelname)s] [Epoch 01] it=330, time=4.720, generator: 0.7626, discriminator: 1.1652, regularizer: 0.0842, pose_estimator: 0.0429
[(levelname)s] [Epoch 01] it=340, time=4.777, generator: 0.8226, discriminator: 1.1588, regularizer: 0.0979, pose_estimator: 0.0439
[(levelname)s] [Epoch 01] it=350, time=4.762, generator: 0.6242, discriminator: 1.1464, regularizer: 0.1016, pose_estimator: 0.0416
[(levelname)s] [Epoch 01] it=360, time=4.725, generator: 0.7295, discriminator: 1.1279, regularizer: 0.1042, pose_estimator: 0.0421
[(levelname)s] [Epoch 01] it=370, time=4.772, generator: 0.7622, discriminator: 1.1314, regularizer: 0.0904, pose_estimator: 0.0419
[(levelname)s] [Epoch 01] it=380, time=4.760, generator: 0.7704, discriminator: 1.1240, regularizer: 0.0978, pose_estimator: 0.0385
[(levelname)s] [Epoch 01] it=390, time=4.769, generator: 0.7170, discriminator: 1.1227, regularizer: 0.0892, pose_estimator: 0.0382
[(levelname)s] [Epoch 01] it=400, time=4.744, generator: 0.7610, discriminator: 1.1473, regularizer: 0.0943, pose_estimator: 0.0379
[(levelname)s] [Epoch 01] it=410, time=4.757, generator: 0.9043, discriminator: 1.1890, regularizer: 0.0917, pose_estimator: 0.0389
[(levelname)s] [Epoch 01] it=420, time=4.797, generator: 0.6745, discriminator: 1.1238, regularizer: 0.0915, pose_estimator: 0.0394
[(levelname)s] [Epoch 01] it=430, time=4.755, generator: 0.7125, discriminator: 1.1705, regularizer: 0.0881, pose_estimator: 0.0374
[(levelname)s] [Epoch 01] it=440, time=4.759, generator: 0.6525, discriminator: 1.1173, regularizer: 0.0955, pose_estimator: 0.0351
[(levelname)s] [Epoch 01] it=450, time=4.766, generator: 0.7355, discriminator: 1.1098, regularizer: 0.1002, pose_estimator: 0.0341
[(levelname)s] [Epoch 01] it=460, time=4.737, generator: 0.6982, discriminator: 1.1485, regularizer: 0.0809, pose_estimator: 0.0340
[(levelname)s] [Epoch 01] it=470, time=4.890, generator: 0.6842, discriminator: 1.1765, regularizer: 0.0875, pose_estimator: 0.0352
[(levelname)s] [Epoch 01] it=480, time=4.805, generator: 0.7901, discriminator: 1.1843, regularizer: 0.0860, pose_estimator: 0.0336
[(levelname)s] [Epoch 01] it=490, time=4.806, generator: 0.7452, discriminator: 1.1360, regularizer: 0.0903, pose_estimator: 0.0333
[(levelname)s] [Epoch 01] it=500, time=4.786, generator: 0.6867, discriminator: 1.1700, regularizer: 0.0911, pose_estimator: 0.0322
[(levelname)s] Saving checkpoint
