nohup: ignoring input
Start loading file addresses ...
done! time: 0.9916117191314697
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=000, time=2.028, generator: 0.6912, generator_static: 0.6844, discriminator: 1.3941, regularizer: 0.0023, pose_estimator: 5.1204
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] Backup checkpoint
[(levelname)s] [Epoch 00] it=010, time=7.318, generator: 0.6170, generator_static: 0.6084, discriminator: 0.9722, regularizer: 0.0603, pose_estimator: 1.9190
[(levelname)s] [Epoch 00] it=020, time=7.025, generator: 0.5842, generator_static: 0.5689, discriminator: 1.1968, regularizer: 0.0418, pose_estimator: 1.2861
[(levelname)s] [Epoch 00] it=030, time=7.078, generator: 0.6506, generator_static: 0.6487, discriminator: 1.1258, regularizer: 0.1004, pose_estimator: 0.9163
[(levelname)s] [Epoch 00] it=040, time=7.067, generator: 0.6564, generator_static: 0.6616, discriminator: 1.0767, regularizer: 0.0992, pose_estimator: 0.6809
[(levelname)s] [Epoch 00] it=050, time=7.037, generator: 0.6690, generator_static: 0.6683, discriminator: 1.0377, regularizer: 0.0948, pose_estimator: 0.5647
[(levelname)s] [Epoch 00] it=060, time=7.052, generator: 0.7826, generator_static: 0.7684, discriminator: 1.1297, regularizer: 0.1036, pose_estimator: 0.4935
[(levelname)s] [Epoch 00] it=070, time=7.058, generator: 0.6315, generator_static: 0.5946, discriminator: 1.1847, regularizer: 0.0932, pose_estimator: 0.4656
[(levelname)s] [Epoch 00] it=080, time=7.086, generator: 0.6493, generator_static: 0.6078, discriminator: 1.2898, regularizer: 0.0744, pose_estimator: 0.3987
[(levelname)s] [Epoch 00] it=090, time=7.093, generator: 0.7523, generator_static: 0.7333, discriminator: 1.1093, regularizer: 0.0817, pose_estimator: 0.3447
[(levelname)s] [Epoch 00] it=100, time=7.007, generator: 0.8111, generator_static: 0.7655, discriminator: 1.1816, regularizer: 0.0904, pose_estimator: 0.3171
[(levelname)s] [Epoch 00] it=110, time=7.043, generator: 0.8485, generator_static: 0.7896, discriminator: 1.2743, regularizer: 0.0866, pose_estimator: 0.3097
[(levelname)s] [Epoch 00] it=120, time=7.131, generator: 0.8404, generator_static: 0.8016, discriminator: 1.2888, regularizer: 0.0571, pose_estimator: 0.2861
[(levelname)s] [Epoch 00] it=130, time=7.166, generator: 0.8542, generator_static: 0.7843, discriminator: 1.3153, regularizer: 0.0574, pose_estimator: 0.2796
[(levelname)s] [Epoch 00] it=140, time=7.064, generator: 0.7098, generator_static: 0.6983, discriminator: 1.2501, regularizer: 0.0588, pose_estimator: 0.2668
[(levelname)s] [Epoch 00] it=150, time=7.150, generator: 0.6829, generator_static: 0.6454, discriminator: 1.3177, regularizer: 0.0535, pose_estimator: 0.2467
[(levelname)s] [Epoch 00] it=160, time=7.154, generator: 0.6366, generator_static: 0.6143, discriminator: 1.2977, regularizer: 0.0488, pose_estimator: 0.2486
[(levelname)s] [Epoch 00] it=170, time=7.082, generator: 0.6969, generator_static: 0.6746, discriminator: 1.2846, regularizer: 0.0484, pose_estimator: 0.2518
[(levelname)s] [Epoch 00] it=180, time=7.034, generator: 0.6784, generator_static: 0.6641, discriminator: 1.2929, regularizer: 0.0466, pose_estimator: 0.2352
[(levelname)s] [Epoch 00] it=190, time=7.085, generator: 0.6636, generator_static: 0.6622, discriminator: 1.2928, regularizer: 0.0413, pose_estimator: 0.2318
[(levelname)s] [Epoch 00] it=200, time=7.035, generator: 0.6545, generator_static: 0.6524, discriminator: 1.3192, regularizer: 0.0382, pose_estimator: 0.2228
[(levelname)s] [Epoch 00] it=210, time=7.091, generator: 0.6673, generator_static: 0.6622, discriminator: 1.2976, regularizer: 0.0365, pose_estimator: 0.2180
[(levelname)s] [Epoch 00] it=220, time=7.069, generator: 0.6960, generator_static: 0.6709, discriminator: 1.3044, regularizer: 0.0396, pose_estimator: 0.2128
[(levelname)s] [Epoch 00] it=230, time=7.106, generator: 0.7048, generator_static: 0.7023, discriminator: 1.2930, regularizer: 0.0403, pose_estimator: 0.2096
[(levelname)s] [Epoch 00] it=240, time=7.101, generator: 0.8373, generator_static: 0.7669, discriminator: 1.3643, regularizer: 0.0383, pose_estimator: 0.2083
[(levelname)s] [Epoch 00] it=250, time=7.068, generator: 0.6828, generator_static: 0.6713, discriminator: 1.2932, regularizer: 0.0393, pose_estimator: 0.2031
[(levelname)s] [Epoch 00] it=260, time=7.078, generator: 0.7013, generator_static: 0.6901, discriminator: 1.2902, regularizer: 0.0381, pose_estimator: 0.2022
[(levelname)s] [Epoch 00] it=270, time=7.095, generator: 0.6634, generator_static: 0.6506, discriminator: 1.2875, regularizer: 0.0370, pose_estimator: 0.1976
[(levelname)s] [Epoch 00] it=280, time=7.081, generator: 0.7009, generator_static: 0.6832, discriminator: 1.2742, regularizer: 0.0445, pose_estimator: 0.1987
[(levelname)s] [Epoch 00] it=290, time=7.118, generator: 0.6704, generator_static: 0.6594, discriminator: 1.2764, regularizer: 0.0405, pose_estimator: 0.1977
[(levelname)s] [Epoch 00] it=300, time=7.070, generator: 0.6930, generator_static: 0.6790, discriminator: 1.2867, regularizer: 0.0396, pose_estimator: 0.1898
[(levelname)s] [Epoch 00] it=310, time=7.083, generator: 0.6738, generator_static: 0.6653, discriminator: 1.2871, regularizer: 0.0377, pose_estimator: 0.1932
[(levelname)s] [Epoch 00] it=320, time=7.094, generator: 0.6552, generator_static: 0.6501, discriminator: 1.2926, regularizer: 0.0370, pose_estimator: 0.1867
[(levelname)s] [Epoch 00] it=330, time=7.129, generator: 0.7301, generator_static: 0.7228, discriminator: 1.2660, regularizer: 0.0457, pose_estimator: 0.1858
[(levelname)s] [Epoch 00] it=340, time=7.152, generator: 0.6637, generator_static: 0.6229, discriminator: 1.2705, regularizer: 0.0458, pose_estimator: 0.1819
[(levelname)s] [Epoch 00] it=350, time=7.130, generator: 0.7954, generator_static: 0.7521, discriminator: 1.2957, regularizer: 0.0457, pose_estimator: 0.1803
[(levelname)s] [Epoch 00] it=360, time=7.108, generator: 0.6891, generator_static: 0.6612, discriminator: 1.2804, regularizer: 0.0462, pose_estimator: 0.1769
[(levelname)s] [Epoch 00] it=370, time=7.067, generator: 0.6797, generator_static: 0.6539, discriminator: 1.2626, regularizer: 0.0440, pose_estimator: 0.1788
[(levelname)s] [Epoch 00] it=380, time=7.042, generator: 0.6792, generator_static: 0.6809, discriminator: 1.2335, regularizer: 0.0475, pose_estimator: 0.1771
[(levelname)s] [Epoch 00] it=390, time=7.105, generator: 0.7166, generator_static: 0.6940, discriminator: 1.2674, regularizer: 0.0507, pose_estimator: 0.1756
[(levelname)s] [Epoch 00] it=400, time=7.196, generator: 0.7132, generator_static: 0.7068, discriminator: 1.2571, regularizer: 0.0444, pose_estimator: 0.1735
[(levelname)s] [Epoch 00] it=410, time=7.094, generator: 0.6891, generator_static: 0.6862, discriminator: 1.2687, regularizer: 0.0465, pose_estimator: 0.1742
[(levelname)s] [Epoch 00] it=420, time=7.126, generator: 0.7097, generator_static: 0.6894, discriminator: 1.2629, regularizer: 0.0516, pose_estimator: 0.1709
[(levelname)s] [Epoch 00] it=430, time=7.136, generator: 0.6869, generator_static: 0.6728, discriminator: 1.2581, regularizer: 0.0495, pose_estimator: 0.1704
[(levelname)s] [Epoch 00] it=440, time=7.163, generator: 0.6387, generator_static: 0.6162, discriminator: 1.2747, regularizer: 0.0465, pose_estimator: 0.1710
[(levelname)s] [Epoch 00] it=450, time=7.092, generator: 0.6588, generator_static: 0.6429, discriminator: 1.2755, regularizer: 0.0483, pose_estimator: 0.1685
[(levelname)s] [Epoch 00] it=460, time=7.054, generator: 0.8945, generator_static: 0.8272, discriminator: 1.3500, regularizer: 0.0461, pose_estimator: 0.1683
[(levelname)s] [Epoch 00] it=470, time=7.148, generator: 0.7048, generator_static: 0.6782, discriminator: 1.2628, regularizer: 0.0488, pose_estimator: 0.1664
[(levelname)s] [Epoch 00] it=480, time=7.198, generator: 0.7039, generator_static: 0.6957, discriminator: 1.2513, regularizer: 0.0522, pose_estimator: 0.1642
[(levelname)s] [Epoch 00] it=490, time=7.107, generator: 0.7314, generator_static: 0.7185, discriminator: 1.2702, regularizer: 0.0440, pose_estimator: 0.1662
[(levelname)s] [Epoch 00] it=500, time=7.097, generator: 0.6783, generator_static: 0.6630, discriminator: 1.2795, regularizer: 0.0489, pose_estimator: 0.1656
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 00] it=510, time=7.289, generator: 0.7315, generator_static: 0.6809, discriminator: 1.2820, regularizer: 0.0480, pose_estimator: 0.1617
[(levelname)s] [Epoch 00] it=520, time=7.101, generator: 0.8066, generator_static: 0.7547, discriminator: 1.3150, regularizer: 0.0436, pose_estimator: 0.1623
[(levelname)s] [Epoch 00] it=530, time=7.116, generator: 0.6661, generator_static: 0.6580, discriminator: 1.2875, regularizer: 0.0432, pose_estimator: 0.1587
[(levelname)s] [Epoch 00] it=540, time=7.178, generator: 0.8483, generator_static: 0.8033, discriminator: 1.3412, regularizer: 0.0421, pose_estimator: 0.1591
[(levelname)s] [Epoch 00] it=550, time=7.099, generator: 0.7220, generator_static: 0.6391, discriminator: 1.2892, regularizer: 0.0433, pose_estimator: 0.1576
[(levelname)s] [Epoch 00] it=560, time=7.149, generator: 0.6962, generator_static: 0.6738, discriminator: 1.2848, regularizer: 0.0472, pose_estimator: 0.1565
