nohup: ignoring input
Start loading file addresses ...
done! time: 0.9692201614379883
Number of images found: 289508
Start loading file addresses ...
done! time: 0.9842691421508789
Number of images found: 289508
out/inverse_mask_complete/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=1010, time=3.436, generator: 0.8277, discriminator: 1.1613, regularizer: 0.0689
[(levelname)s] [Epoch 01] it=1020, time=2.094, generator: 0.7727, discriminator: 1.2062, regularizer: 0.0684
[(levelname)s] [Epoch 01] it=1030, time=2.093, generator: 0.7303, discriminator: 1.1945, regularizer: 0.0798
[(levelname)s] [Epoch 01] it=1040, time=2.116, generator: 0.7143, discriminator: 1.1636, regularizer: 0.0741
[(levelname)s] [Epoch 01] it=1050, time=2.089, generator: 0.6306, discriminator: 1.1892, regularizer: 0.0828
[(levelname)s] [Epoch 01] it=1060, time=2.095, generator: 0.6156, discriminator: 1.2288, regularizer: 0.0855
[(levelname)s] [Epoch 01] it=1070, time=2.084, generator: 0.7012, discriminator: 1.1321, regularizer: 0.0783
[(levelname)s] [Epoch 01] it=1080, time=2.068, generator: 0.7347, discriminator: 1.1745, regularizer: 0.0772
[(levelname)s] [Epoch 01] it=1090, time=2.091, generator: 0.6721, discriminator: 1.1861, regularizer: 0.0831
[(levelname)s] [Epoch 01] it=1100, time=2.066, generator: 0.6203, discriminator: 1.1491, regularizer: 0.0798
[(levelname)s] [Epoch 01] it=1110, time=2.061, generator: 0.6295, discriminator: 1.1864, regularizer: 0.0812
[(levelname)s] [Epoch 01] it=1120, time=2.061, generator: 0.7270, discriminator: 1.1800, regularizer: 0.0748
[(levelname)s] [Epoch 01] it=1130, time=2.058, generator: 0.7277, discriminator: 1.1915, regularizer: 0.0686
[(levelname)s] [Epoch 01] it=1140, time=2.092, generator: 0.6877, discriminator: 1.2091, regularizer: 0.0727
[(levelname)s] [Epoch 01] it=1150, time=2.073, generator: 0.6912, discriminator: 1.1772, regularizer: 0.0716
[(levelname)s] [Epoch 01] it=1160, time=2.068, generator: 0.6161, discriminator: 1.1588, regularizer: 0.0719
[(levelname)s] [Epoch 01] it=1170, time=2.056, generator: 0.7484, discriminator: 1.1726, regularizer: 0.0790
[(levelname)s] [Epoch 01] it=1180, time=2.081, generator: 0.7363, discriminator: 1.1129, regularizer: 0.0700
[(levelname)s] [Epoch 01] it=1190, time=2.094, generator: 0.5780, discriminator: 1.2417, regularizer: 0.0812
[(levelname)s] [Epoch 01] it=1200, time=2.087, generator: 0.6773, discriminator: 1.1692, regularizer: 0.0808
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=1210, time=2.175, generator: 0.6980, discriminator: 1.1449, regularizer: 0.0765
[(levelname)s] [Epoch 01] it=1220, time=2.081, generator: 0.6328, discriminator: 1.1915, regularizer: 0.0751
[(levelname)s] [Epoch 01] it=1230, time=2.072, generator: 0.7009, discriminator: 1.1603, regularizer: 0.0736
[(levelname)s] [Epoch 01] it=1240, time=2.095, generator: 0.6785, discriminator: 1.1917, regularizer: 0.0766
[(levelname)s] [Epoch 01] it=1250, time=2.084, generator: 0.6730, discriminator: 1.1948, regularizer: 0.0740
[(levelname)s] [Epoch 01] it=1260, time=2.070, generator: 0.6336, discriminator: 1.1749, regularizer: 0.0861
[(levelname)s] [Epoch 01] it=1270, time=2.092, generator: 0.7745, discriminator: 1.2003, regularizer: 0.0762
[(levelname)s] [Epoch 01] it=1280, time=2.091, generator: 0.7049, discriminator: 1.2190, regularizer: 0.0704
[(levelname)s] [Epoch 01] it=1290, time=2.070, generator: 0.6074, discriminator: 1.1908, regularizer: 0.0782
[(levelname)s] [Epoch 01] it=1300, time=2.075, generator: 0.6545, discriminator: 1.1980, regularizer: 0.0787
[(levelname)s] [Epoch 01] it=1310, time=2.078, generator: 0.6021, discriminator: 1.1762, regularizer: 0.0776
[(levelname)s] [Epoch 01] it=1320, time=2.065, generator: 0.6626, discriminator: 1.2229, regularizer: 0.0774
[(levelname)s] [Epoch 01] it=1330, time=2.096, generator: 0.6106, discriminator: 1.1846, regularizer: 0.0779
[(levelname)s] [Epoch 01] it=1340, time=2.076, generator: 0.6170, discriminator: 1.1726, regularizer: 0.0807
[(levelname)s] [Epoch 01] it=1350, time=2.066, generator: 0.7178, discriminator: 1.1965, regularizer: 0.0734
[(levelname)s] [Epoch 01] it=1360, time=2.088, generator: 0.6401, discriminator: 1.2279, regularizer: 0.0790
[(levelname)s] [Epoch 01] it=1370, time=2.090, generator: 0.6225, discriminator: 1.2002, regularizer: 0.0921
[(levelname)s] [Epoch 01] it=1380, time=2.070, generator: 0.7637, discriminator: 1.1543, regularizer: 0.0762
[(levelname)s] [Epoch 01] it=1390, time=2.087, generator: 0.7233, discriminator: 1.1806, regularizer: 0.0742
[(levelname)s] [Epoch 01] it=1400, time=2.070, generator: 0.6778, discriminator: 1.1682, regularizer: 0.0743
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=1410, time=2.167, generator: 0.7508, discriminator: 1.2189, regularizer: 0.0686
[(levelname)s] [Epoch 01] it=1420, time=2.054, generator: 0.5952, discriminator: 1.2018, regularizer: 0.0693
[(levelname)s] [Epoch 01] it=1430, time=2.066, generator: 0.5998, discriminator: 1.1808, regularizer: 0.0684
[(levelname)s] [Epoch 01] it=1440, time=2.087, generator: 0.7792, discriminator: 1.1935, regularizer: 0.0758
[(levelname)s] [Epoch 01] it=1450, time=2.071, generator: 0.6597, discriminator: 1.1934, regularizer: 0.0745
[(levelname)s] [Epoch 01] it=1460, time=2.067, generator: 0.6969, discriminator: 1.1474, regularizer: 0.0678
[(levelname)s] [Epoch 01] it=1470, time=2.072, generator: 0.6513, discriminator: 1.1920, regularizer: 0.0728
[(levelname)s] [Epoch 01] it=1480, time=2.068, generator: 0.6913, discriminator: 1.1934, regularizer: 0.0672
[(levelname)s] [Epoch 01] it=1490, time=2.076, generator: 0.5833, discriminator: 1.2074, regularizer: 0.0734
[(levelname)s] [Epoch 01] it=1500, time=2.063, generator: 0.6292, discriminator: 1.1779, regularizer: 0.0710
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=1510, time=2.144, generator: 0.7112, discriminator: 1.1876, regularizer: 0.0746
[(levelname)s] [Epoch 01] it=1520, time=2.094, generator: 0.6868, discriminator: 1.1703, regularizer: 0.0759
[(levelname)s] [Epoch 01] it=1530, time=2.077, generator: 0.7209, discriminator: 1.1766, regularizer: 0.0723
[(levelname)s] [Epoch 01] it=1540, time=2.077, generator: 0.6010, discriminator: 1.1640, regularizer: 0.0832
