nohup: ignoring input
Start loading file addresses ...
done! time: 0.9919822216033936
Number of images found: 289508
Start loading file addresses ...
done! time: 1.0042247772216797
Number of images found: 289508
out/inverse_mask_complete_sigma_all/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): 173.55682653
[(levelname)s] [Epoch 04] it=25010, time=3.671, generator: 0.7413, discriminator: 1.2135, regularizer: 0.0723
[(levelname)s] [Epoch 04] it=25020, time=2.272, generator: 0.7061, discriminator: 1.2089, regularizer: 0.0816
[(levelname)s] [Epoch 04] it=25030, time=2.293, generator: 0.7776, discriminator: 1.2493, regularizer: 0.0779
[(levelname)s] [Epoch 04] it=25040, time=2.256, generator: 0.7260, discriminator: 1.1914, regularizer: 0.0755
[(levelname)s] [Epoch 04] it=25050, time=2.282, generator: 0.6866, discriminator: 1.2229, regularizer: 0.0787
[(levelname)s] [Epoch 04] it=25060, time=2.298, generator: 0.6581, discriminator: 1.2112, regularizer: 0.0780
[(levelname)s] [Epoch 04] it=25070, time=2.304, generator: 0.7432, discriminator: 1.2265, regularizer: 0.0777
[(levelname)s] [Epoch 04] it=25080, time=2.272, generator: 0.6957, discriminator: 1.2083, regularizer: 0.0746
[(levelname)s] [Epoch 04] it=25090, time=2.301, generator: 0.6391, discriminator: 1.2080, regularizer: 0.0746
[(levelname)s] [Epoch 04] it=25100, time=2.292, generator: 0.6957, discriminator: 1.2002, regularizer: 0.0740
[(levelname)s] [Epoch 04] it=25110, time=2.313, generator: 0.6796, discriminator: 1.2288, regularizer: 0.0736
[(levelname)s] [Epoch 04] it=25120, time=2.312, generator: 0.7656, discriminator: 1.2147, regularizer: 0.0766
[(levelname)s] [Epoch 04] it=25130, time=2.312, generator: 0.7260, discriminator: 1.2028, regularizer: 0.0779
[(levelname)s] [Epoch 04] it=25140, time=2.337, generator: 0.6750, discriminator: 1.1999, regularizer: 0.0730
[(levelname)s] [Epoch 04] it=25150, time=2.249, generator: 0.7607, discriminator: 1.2034, regularizer: 0.0736
[(levelname)s] [Epoch 04] it=25160, time=2.313, generator: 0.7132, discriminator: 1.2040, regularizer: 0.0782
[(levelname)s] [Epoch 04] it=25170, time=2.276, generator: 0.7024, discriminator: 1.2118, regularizer: 0.0781
[(levelname)s] [Epoch 04] it=25180, time=2.326, generator: 0.7478, discriminator: 1.2169, regularizer: 0.0742
[(levelname)s] [Epoch 04] it=25190, time=2.301, generator: 0.6848, discriminator: 1.2232, regularizer: 0.0721
[(levelname)s] [Epoch 04] it=25200, time=2.297, generator: 0.7200, discriminator: 1.1727, regularizer: 0.0796
[(levelname)s] Visualizing
[(levelname)s] [Epoch 04] it=25210, time=2.473, generator: 0.7221, discriminator: 1.2046, regularizer: 0.0749
[(levelname)s] [Epoch 04] it=25220, time=2.308, generator: 0.6728, discriminator: 1.2165, regularizer: 0.0759
[(levelname)s] [Epoch 04] it=25230, time=2.272, generator: 0.6853, discriminator: 1.2134, regularizer: 0.0736
[(levelname)s] [Epoch 04] it=25240, time=2.294, generator: 0.6526, discriminator: 1.1982, regularizer: 0.0784
[(levelname)s] [Epoch 04] it=25250, time=2.279, generator: 0.7399, discriminator: 1.2265, regularizer: 0.0793
[(levelname)s] [Epoch 04] it=25260, time=2.285, generator: 0.7088, discriminator: 1.2104, regularizer: 0.0778
[(levelname)s] [Epoch 04] it=25270, time=2.299, generator: 0.7065, discriminator: 1.2107, regularizer: 0.0758
[(levelname)s] [Epoch 04] it=25280, time=2.304, generator: 0.7203, discriminator: 1.2043, regularizer: 0.0791
[(levelname)s] [Epoch 04] it=25290, time=2.279, generator: 0.7201, discriminator: 1.1893, regularizer: 0.0836
[(levelname)s] [Epoch 04] it=25300, time=2.288, generator: 0.6455, discriminator: 1.2561, regularizer: 0.0761
[(levelname)s] [Epoch 04] it=25310, time=2.300, generator: 0.7447, discriminator: 1.1899, regularizer: 0.0745
[(levelname)s] [Epoch 04] it=25320, time=2.287, generator: 0.6200, discriminator: 1.2310, regularizer: 0.0732
[(levelname)s] [Epoch 04] it=25330, time=2.316, generator: 0.6692, discriminator: 1.2137, regularizer: 0.0770
[(levelname)s] [Epoch 04] it=25340, time=2.295, generator: 0.6519, discriminator: 1.2071, regularizer: 0.0755
[(levelname)s] [Epoch 04] it=25350, time=2.296, generator: 0.7052, discriminator: 1.2226, regularizer: 0.0774
[(levelname)s] [Epoch 04] it=25360, time=2.304, generator: 0.7475, discriminator: 1.2097, regularizer: 0.0740
[(levelname)s] [Epoch 04] it=25370, time=2.280, generator: 0.7465, discriminator: 1.2401, regularizer: 0.0743
[(levelname)s] [Epoch 04] it=25380, time=2.268, generator: 0.7084, discriminator: 1.2140, regularizer: 0.0781
[(levelname)s] [Epoch 04] it=25390, time=2.291, generator: 0.7448, discriminator: 1.1894, regularizer: 0.0795
[(levelname)s] [Epoch 04] it=25400, time=2.294, generator: 0.6986, discriminator: 1.2117, regularizer: 0.0763
[(levelname)s] [Epoch 04] it=25410, time=2.280, generator: 0.6829, discriminator: 1.2059, regularizer: 0.0723
[(levelname)s] [Epoch 04] it=25420, time=2.287, generator: 0.7195, discriminator: 1.2068, regularizer: 0.0791
[(levelname)s] [Epoch 04] it=25430, time=2.280, generator: 0.6310, discriminator: 1.2037, regularizer: 0.0765
[(levelname)s] [Epoch 04] it=25440, time=2.274, generator: 0.7119, discriminator: 1.2139, regularizer: 0.0758
[(levelname)s] [Epoch 04] it=25450, time=2.277, generator: 0.6005, discriminator: 1.2279, regularizer: 0.0802
[(levelname)s] [Epoch 04] it=25460, time=2.273, generator: 0.6779, discriminator: 1.2098, regularizer: 0.0807
[(levelname)s] [Epoch 04] it=25470, time=2.277, generator: 0.7121, discriminator: 1.2017, regularizer: 0.0746
[(levelname)s] [Epoch 04] it=25480, time=2.291, generator: 0.6871, discriminator: 1.2017, regularizer: 0.0766
[(levelname)s] [Epoch 04] it=25490, time=2.263, generator: 0.6751, discriminator: 1.2225, regularizer: 0.0725
[(levelname)s] [Epoch 04] it=25500, time=2.253, generator: 0.7251, discriminator: 1.1905, regularizer: 0.0766
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 04] it=25510, time=2.363, generator: 0.7617, discriminator: 1.2222, regularizer: 0.0735
[(levelname)s] [Epoch 04] it=25520, time=2.274, generator: 0.6944, discriminator: 1.1990, regularizer: 0.0761
[(levelname)s] [Epoch 04] it=25530, time=2.266, generator: 0.6887, discriminator: 1.1849, regularizer: 0.0768
[(levelname)s] [Epoch 04] it=25540, time=2.279, generator: 0.6728, discriminator: 1.2227, regularizer: 0.0750
[(levelname)s] [Epoch 04] it=25550, time=2.286, generator: 0.6919, discriminator: 1.1885, regularizer: 0.0763
[(levelname)s] [Epoch 04] it=25560, time=2.274, generator: 0.6706, discriminator: 1.1957, regularizer: 0.0785
[(levelname)s] [Epoch 04] it=25570, time=2.279, generator: 0.6219, discriminator: 1.2692, regularizer: 0.0745
[(levelname)s] [Epoch 04] it=25580, time=2.299, generator: 0.6705, discriminator: 1.2159, regularizer: 0.0775
[(levelname)s] [Epoch 04] it=25590, time=2.287, generator: 0.8308, discriminator: 1.2557, regularizer: 0.0768
[(levelname)s] [Epoch 04] it=25600, time=2.280, generator: 0.6900, discriminator: 1.1905, regularizer: 0.0781
[(levelname)s] Visualizing
[(levelname)s] [Epoch 04] it=25610, time=2.471, generator: 0.6683, discriminator: 1.2129, regularizer: 0.0790
[(levelname)s] [Epoch 04] it=25620, time=2.294, generator: 0.6847, discriminator: 1.2236, regularizer: 0.0772
[(levelname)s] [Epoch 04] it=25630, time=2.271, generator: 0.6538, discriminator: 1.2231, regularizer: 0.0731
[(levelname)s] [Epoch 04] it=25640, time=2.262, generator: 0.7210, discriminator: 1.2056, regularizer: 0.0768
[(levelname)s] [Epoch 04] it=25650, time=2.257, generator: 0.7422, discriminator: 1.2271, regularizer: 0.0785
[(levelname)s] [Epoch 04] it=25660, time=2.266, generator: 0.6769, discriminator: 1.2223, regularizer: 0.0773
[(levelname)s] [Epoch 04] it=25670, time=2.272, generator: 0.6751, discriminator: 1.2005, regularizer: 0.0781
[(levelname)s] [Epoch 04] it=25680, time=2.272, generator: 0.7032, discriminator: 1.2293, regularizer: 0.0767
[(levelname)s] [Epoch 04] it=25690, time=2.294, generator: 0.6958, discriminator: 1.1965, regularizer: 0.0789
[(levelname)s] [Epoch 04] it=25700, time=2.288, generator: 0.7085, discriminator: 1.2250, regularizer: 0.0756
[(levelname)s] [Epoch 04] it=25710, time=2.286, generator: 0.7397, discriminator: 1.2076, regularizer: 0.0746
[(levelname)s] [Epoch 04] it=25720, time=2.301, generator: 0.8031, discriminator: 1.2453, regularizer: 0.0740
[(levelname)s] [Epoch 04] it=25730, time=2.278, generator: 0.6517, discriminator: 1.2100, regularizer: 0.0704
[(levelname)s] [Epoch 04] it=25740, time=2.281, generator: 0.7420, discriminator: 1.2060, regularizer: 0.0744
[(levelname)s] [Epoch 04] it=25750, time=2.247, generator: 0.6750, discriminator: 1.2105, regularizer: 0.0795
[(levelname)s] [Epoch 04] it=25760, time=2.257, generator: 0.6859, discriminator: 1.2259, regularizer: 0.0784
[(levelname)s] [Epoch 04] it=25770, time=2.268, generator: 0.7474, discriminator: 1.1825, regularizer: 0.0805
[(levelname)s] [Epoch 04] it=25780, time=2.272, generator: 0.6390, discriminator: 1.2056, regularizer: 0.0762
[(levelname)s] [Epoch 04] it=25790, time=2.284, generator: 0.7425, discriminator: 1.2242, regularizer: 0.0712
[(levelname)s] [Epoch 04] it=25800, time=2.279, generator: 0.6997, discriminator: 1.1998, regularizer: 0.0796
[(levelname)s] [Epoch 04] it=25810, time=2.283, generator: 0.6798, discriminator: 1.1741, regularizer: 0.0761
[(levelname)s] [Epoch 04] it=25820, time=2.305, generator: 0.6668, discriminator: 1.1966, regularizer: 0.0756
[(levelname)s] [Epoch 04] it=25830, time=2.259, generator: 0.7021, discriminator: 1.2182, regularizer: 0.0726
[(levelname)s] [Epoch 04] it=25840, time=2.288, generator: 0.7766, discriminator: 1.2242, regularizer: 0.0761
[(levelname)s] [Epoch 04] it=25850, time=2.262, generator: 0.6859, discriminator: 1.1891, regularizer: 0.0786
[(levelname)s] [Epoch 04] it=25860, time=2.277, generator: 0.6655, discriminator: 1.2101, regularizer: 0.0756
[(levelname)s] [Epoch 04] it=25870, time=2.275, generator: 0.7380, discriminator: 1.2257, regularizer: 0.0749
[(levelname)s] [Epoch 04] it=25880, time=2.282, generator: 0.6701, discriminator: 1.1977, regularizer: 0.0752
[(levelname)s] [Epoch 04] it=25890, time=2.301, generator: 0.6710, discriminator: 1.2269, regularizer: 0.0779
[(levelname)s] [Epoch 04] it=25900, time=2.317, generator: 0.6844, discriminator: 1.2163, regularizer: 0.0810
[(levelname)s] [Epoch 04] it=25910, time=2.274, generator: 0.7116, discriminator: 1.2112, regularizer: 0.0735
[(levelname)s] [Epoch 04] it=25920, time=2.295, generator: 0.6533, discriminator: 1.2088, regularizer: 0.0777
[(levelname)s] [Epoch 04] it=25930, time=2.278, generator: 0.6710, discriminator: 1.2071, regularizer: 0.0750
[(levelname)s] [Epoch 04] it=25940, time=2.274, generator: 0.7114, discriminator: 1.2223, regularizer: 0.0796
[(levelname)s] [Epoch 04] it=25950, time=2.295, generator: 0.6965, discriminator: 1.2122, regularizer: 0.0750
[(levelname)s] [Epoch 04] it=25960, time=2.258, generator: 0.7424, discriminator: 1.2024, regularizer: 0.0746
[(levelname)s] [Epoch 04] it=25970, time=2.276, generator: 0.6791, discriminator: 1.1905, regularizer: 0.0767
[(levelname)s] [Epoch 04] it=25980, time=2.284, generator: 0.6712, discriminator: 1.1959, regularizer: 0.0733
[(levelname)s] [Epoch 04] it=25990, time=2.295, generator: 0.7078, discriminator: 1.2170, regularizer: 0.0797
[(levelname)s] [Epoch 04] it=26000, time=2.286, generator: 0.6744, discriminator: 1.2066, regularizer: 0.0802
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 04] it=26010, time=2.486, generator: 0.7211, discriminator: 1.1930, regularizer: 0.0790
[(levelname)s] [Epoch 04] it=26020, time=2.290, generator: 0.7395, discriminator: 1.2321, regularizer: 0.0742
