nohup: ignoring input
Start loading file addresses ...
done! time: 0.9670593738555908
Number of images found: 289508
Start loading file addresses ...
done! time: 0.9920361042022705
Number of images found: 289508
out/sigma_abs/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=010, time=3.624, generator: 0.6952, discriminator: 0.9968, regularizer: 0.0858
[(levelname)s] [Epoch 01] it=020, time=2.290, generator: 0.6407, discriminator: 1.2773, regularizer: 0.0263
[(levelname)s] [Epoch 01] it=030, time=2.281, generator: 0.6959, discriminator: 1.3129, regularizer: 0.0206
[(levelname)s] [Epoch 01] it=040, time=2.257, generator: 0.7605, discriminator: 1.2584, regularizer: 0.0558
[(levelname)s] [Epoch 01] it=050, time=2.271, generator: 0.6135, discriminator: 1.3174, regularizer: 0.0426
[(levelname)s] [Epoch 01] it=060, time=2.262, generator: 0.8695, discriminator: 1.3581, regularizer: 0.0364
[(levelname)s] [Epoch 01] it=070, time=2.254, generator: 0.6521, discriminator: 1.2788, regularizer: 0.0439
[(levelname)s] [Epoch 01] it=080, time=2.264, generator: 0.6248, discriminator: 1.2903, regularizer: 0.0581
[(levelname)s] [Epoch 01] it=090, time=2.288, generator: 0.6582, discriminator: 1.2734, regularizer: 0.0445
[(levelname)s] [Epoch 01] it=100, time=2.301, generator: 0.7103, discriminator: 1.2278, regularizer: 0.0558
[(levelname)s] [Epoch 01] it=110, time=2.334, generator: 0.6598, discriminator: 1.2476, regularizer: 0.0526
[(levelname)s] [Epoch 01] it=120, time=2.287, generator: 0.6714, discriminator: 1.2568, regularizer: 0.0480
[(levelname)s] [Epoch 01] it=130, time=2.298, generator: 0.6066, discriminator: 1.2553, regularizer: 0.0599
[(levelname)s] [Epoch 01] it=140, time=2.295, generator: 0.6481, discriminator: 1.2459, regularizer: 0.0568
[(levelname)s] [Epoch 01] it=150, time=2.286, generator: 0.7130, discriminator: 1.2294, regularizer: 0.0543
[(levelname)s] [Epoch 01] it=160, time=2.298, generator: 0.7671, discriminator: 1.2346, regularizer: 0.0657
[(levelname)s] [Epoch 01] it=170, time=2.286, generator: 0.7357, discriminator: 1.2212, regularizer: 0.0642
[(levelname)s] [Epoch 01] it=180, time=2.304, generator: 0.6912, discriminator: 1.2235, regularizer: 0.0502
[(levelname)s] [Epoch 01] it=190, time=2.278, generator: 0.6123, discriminator: 1.2316, regularizer: 0.0607
[(levelname)s] [Epoch 01] it=200, time=2.281, generator: 0.7342, discriminator: 1.2456, regularizer: 0.0635
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=210, time=2.438, generator: 0.7151, discriminator: 1.2499, regularizer: 0.0584
[(levelname)s] [Epoch 01] it=220, time=2.282, generator: 0.6914, discriminator: 1.2852, regularizer: 0.0556
[(levelname)s] [Epoch 01] it=230, time=2.276, generator: 0.7030, discriminator: 1.2522, regularizer: 0.0561
[(levelname)s] [Epoch 01] it=240, time=2.305, generator: 0.7333, discriminator: 1.2370, regularizer: 0.0584
[(levelname)s] [Epoch 01] it=250, time=2.277, generator: 0.6938, discriminator: 1.2600, regularizer: 0.0522
[(levelname)s] [Epoch 01] it=260, time=2.283, generator: 0.6282, discriminator: 1.2386, regularizer: 0.0616
[(levelname)s] [Epoch 01] it=270, time=2.314, generator: 0.7914, discriminator: 1.2801, regularizer: 0.0524
[(levelname)s] [Epoch 01] it=280, time=2.300, generator: 0.8421, discriminator: 1.2790, regularizer: 0.0543
[(levelname)s] [Epoch 01] it=290, time=2.298, generator: 0.6280, discriminator: 1.2554, regularizer: 0.0457
[(levelname)s] [Epoch 01] it=300, time=2.314, generator: 0.8260, discriminator: 1.2674, regularizer: 0.0512
[(levelname)s] [Epoch 01] it=310, time=2.306, generator: 0.6481, discriminator: 1.1875, regularizer: 0.0537
[(levelname)s] [Epoch 01] it=320, time=2.302, generator: 0.6522, discriminator: 1.2613, regularizer: 0.0575
[(levelname)s] [Epoch 01] it=330, time=2.295, generator: 0.7135, discriminator: 1.2189, regularizer: 0.0562
[(levelname)s] [Epoch 01] it=340, time=2.353, generator: 0.6834, discriminator: 1.2669, regularizer: 0.0514
[(levelname)s] [Epoch 01] it=350, time=2.295, generator: 0.6463, discriminator: 1.2162, regularizer: 0.0600
[(levelname)s] [Epoch 01] it=360, time=2.280, generator: 0.7243, discriminator: 1.2092, regularizer: 0.0575
[(levelname)s] [Epoch 01] it=370, time=2.324, generator: 0.7387, discriminator: 1.2437, regularizer: 0.0742
[(levelname)s] [Epoch 01] it=380, time=2.292, generator: 0.7597, discriminator: 1.2333, regularizer: 0.0601
[(levelname)s] [Epoch 01] it=390, time=2.273, generator: 0.6991, discriminator: 1.1675, regularizer: 0.0655
[(levelname)s] [Epoch 01] it=400, time=2.291, generator: 0.7753, discriminator: 1.1964, regularizer: 0.0671
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=410, time=2.440, generator: 0.7139, discriminator: 1.1947, regularizer: 0.0621
[(levelname)s] [Epoch 01] it=420, time=2.262, generator: 0.7877, discriminator: 1.1934, regularizer: 0.0659
[(levelname)s] [Epoch 01] it=430, time=2.276, generator: 0.7291, discriminator: 1.2072, regularizer: 0.0848
[(levelname)s] [Epoch 01] it=440, time=2.292, generator: 0.6155, discriminator: 1.2169, regularizer: 0.0700
[(levelname)s] [Epoch 01] it=450, time=2.278, generator: 0.7138, discriminator: 1.1819, regularizer: 0.0638
[(levelname)s] [Epoch 01] it=460, time=2.297, generator: 0.6071, discriminator: 1.1699, regularizer: 0.0724
[(levelname)s] [Epoch 01] it=470, time=2.272, generator: 0.6479, discriminator: 1.2420, regularizer: 0.0725
[(levelname)s] [Epoch 01] it=480, time=2.286, generator: 0.6288, discriminator: 1.2007, regularizer: 0.0754
